AFG,Afghanistan,Asia,2019,13162,26,9,48,43,66,13,22,-1,-1,24,-1,-1,26,-1,-1,-1,58,17,25,74,-1,-1,38,36,26,-1,-1,31,-1,-1,20,-1,-1,-1,26,48,26,65,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,10,-1,-1
OMN,Oman,Asia,2019,820,85,16,34,50,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
PAK,Pakistan,Asia,2019,66594,37,15,37,47,57,8,34,-1,-1,16,-1,-1,34,-1,-1,-1,52,11,37,81,4,15,-1,-1,24,-1,-1,17,-1,-1,29,-1,-1,-1,-1,-1,35,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PAN,Panama,North America,2019,1071,68,17,42,40,-1,-1,20,-1,-1,0,-1,-1,30,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PNG,Papua New Guinea,Oceania,2019,3444,13,26,41,32,47,6,47,-1,-1,-1,-1,-1,-1,34,8,58,46,6,48,65,23,12,46,12,42,-1,-1,-1,-1,-1,-1,45,13,42,46,12,42,69,10,21,12,43,46,6,44,50,8,42,50,12,41,46,11,43,46,16,44,40
PRY,Paraguay,South America,2019,2021,62,20,41,39,67,30,3,-1,-1,0,-1,-1,9,-1,-1,-1,67,30,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,-1,-1,-1,-1,-1
PER,Peru,South America,2019,7556,78,22,43,34,80,4,16,89,4,7,68,5,27,81,8,11,79,5,15,76,9,15,61,37,2,80,19,1,39,58,4,54,43,3,62,37,1,67,29,3,-1,-1,32,-1,-1,20,-1,-1,46,-1,-1,32,-1,-1,32,-1,-1,27
PHL,Philippines,Asia,2019,25462,47,9,52,39,47,20,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,20,35,54,18,28,39,53,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,59,8,68,25,7,54,11,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,9,35,39,23,38
POL,Poland,Europe,2019,5965,60,25,40,35,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
PRT,Portugal,Europe,2019,1456,66,18,39,43,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
QAT,Qatar,Asia,2019,330,99,25,47,28,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
KOR,Republic of Korea,Asia,2019,7188,81,21,38,41,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
MDA,Republic of Moldova,Europe,2019,480,43,30,26,45,92,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,81,19,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
ROU,Romania,Europe,2019,3330,54,19,32,49,72,-1,-1,-1,-1,-1,-1,-1,-1,67,-1,-1,64,-1,-1,85,-1,-1,72,-1,-1,-1,-1,-1,-1,-1,-1,64,-1,-1,64,-1,-1,87,-1,-1,72,-1,-1,-1,-1,-1,-1,-1,-1,64,-1,-1,64,-1,-1,87,-1,-1
RUS,Russian Federation,Europe,2019,24193,75,30,28,42,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
RWA,Rwanda,Africa,2019,4614,17,23,41,36,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,-1,-1,65,-1,-1,65,20,16,-1,-1,-1,-1,-1,-1,-1,-1,28,61,23,16,73,10,17,52,17,32,-1,-1,-1,-1,-1,-1,-1,-1,74,50,15,35,49,25,26
KNA,Saint Kitts and Nevis,North America,2019,10,31,13,50,37,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,-1,-1,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,-1,-1,100,0,0
LCA,Saint Lucia,North America,2019,32,19,12,48,40,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
VCT,Saint Vincent and the Grenadines,North America,2019,24,53,13,49,38,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,99,1,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,99,1,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,99,1,0
WSM,Samoa,Oceania,2019,70,18,16,42,42,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
SMR,San Marino,Europe,2019,5,97,19,32,49,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
STP,Sao Tome and Principe,Africa,2019,85,74,21,42,36,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,39,-1,-1,10,-1,-1,5,76,8,16,-1,-1,-1,-1,-1,-1,-1,-1,15,70,15,15,-1,-1,11,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,0
SAU,Saudi Arabia,Asia,2019,7963,84,22,42,35,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
SEN,Senegal,Africa,2019,6625,48,23,40,38,45,32,23,-1,-1,6,-1,-1,34,-1,-1,63,42,32,26,79,16,5,16,64,19,-1,-1,2,-1,-1,23,-1,-1,42,9,72,18,40,50,10,22,7,72,-1,-1,59,-1,-1,74,-1,-1,-1,25,4,72,9,-1,-1
SRB,Serbia,Europe,2019,1039,56,25,25,50,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,-1,-1,91,-1,-1,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,-1,-1,92,-1,-1,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,-1,-1,91,-1,-1
SYC,Seychelles,Africa,2019,22,57,14,43,43,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
SLE,Sierra Leone,Africa,2019,3160,42,22,39,39,63,26,11,-1,-1,-1,-1,-1,-1,73,24,2,55,37,8,71,26,2,20,40,39,-1,-1,-1,-1,-1,-1,10,70,20,46,8,46,25,45,30,-1,-1,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,-1,26
SGP,Singapore,Asia,2019,506,100,22,46,32,100,0,0,100,0,0,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0,100,0,0,100,0,0,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0,100,0,0,100,0,0,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0
SVK,Slovakia,Europe,2019,884,54,19,26,55,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
SVN,Slovenia,Europe,2019,318,55,19,40,41,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
SLB,Solomon Islands,Oceania,2019,260,24,22,40,39,17,36,47,-1,-1,-1,14,39,47,-1,-1,-1,20,-1,-1,19,-1,-1,27,9,64,-1,-1,-1,25,11,64,-1,-1,-1,22,-1,-1,34,-1,-1,17,17,66,-1,-1,-1,17,17,66,-1,-1,-1,-1,-1,-1,-1,-1,-1
SOM,Somalia,Africa,2019,6404,46,24,42,35,-1,-1,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,37,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ZAF,South Africa,Africa,2019,15589,67,18,50,32,77,23,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SSD,South Sudan,Africa,2019,4378,20,24,41,35,51,9,40,61,4,35,48,11,41,-1,-1,-1,51,9,40,-1,-1,8,37,38,26,67,22,11,40,23,37,-1,-1,32,37,38,26,-1,-1,11,18,1,80,45,-1,-1,13,-1,-1,-1,-1,-1,18,1,80,-1,-1,-1
ESP,Spain,Europe,2019,7236,81,21,41,38,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
LKA,Sri Lanka,Asia,2019,4795,19,7,36,57,83,0,17,-1,-1,-1,-1,-1,-1,62,24,14,84,-1,-1,88,-1,-1,96,4,0,-1,-1,-1,-1,-1,-1,89,9,2,93,-1,-1,94,6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SDN,Sudan,Africa,2019,13890,35,17,47,36,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,5,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,10,-1,-1,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,-1,-1,36
CHE,Switzerland,Europe,2019,1242,74,13,40,48,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
SYR,Syrian Arab Republic,Asia,2019,5512,55,25,39,35,49,49,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,48,2,49,49,2,49,16,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,16,33,47,13,40,21,27,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,27,51,23,28,49
TJK,Tajikistan,Asia,2019,2888,27,30,29,41,79,8,14,93,4,3,73,9,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,35,18,58,36,6,43,35,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,13,61,41,15,44,20,12,68,-1,-1,-1,-1,-1,-1,-1,-1,-1
TLS,Timor-Leste,Asia,2019,470,31,21,39,40,69,5,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,3,28,62,14,24,38,28,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,29,34,43,35,22,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,-1,-1,52,-1,-1
TGO,Togo,Africa,2019,3238,42,22,39,39,20,23,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,15,65,-1,-1,49,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TUN,Tunisia,Africa,2019,2738,69,20,39,41,70,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,17,13,-1,-1,0,63,23,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,23,15,-1,-1,0,38,50,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,50,12,-1,-1,-1
TCA,Turks and Caicos Islands,North America,2019,9,93,19,39,42,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
UGA,Uganda,Africa,2019,19971,24,22,46,32,68,26,5,90,10,0,54,34,12,-1,-1,-1,70,23,7,-1,-1,-1,80,16,4,80,20,0,57,37,5,-1,-1,-1,80,16,4,-1,-1,0,30,24,46,52,19,29,12,5,83,-1,-1,-1,31,16,53,56,-1,-1
UKR,Ukraine,Europe,2019,4955,69,22,31,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,-1,-1,93,-1,-1
ARE,United Arab Emirates,Asia,2019,1238,87,17,39,44,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
TZA,United Republic of Tanzania,Africa,2019,22135,35,16,50,34,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1
USA,United States of America,North America,2019,62202,82,20,39,41,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
URY,Uruguay,South America,2019,705,95,19,40,41,100,0,0,-1,-1,0,-1,-1,19,-1,-1,-1,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
UZB,Uzbekistan,Asia,2019,9010,50,26,27,46,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,-1,-1,89,-1,-1,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93,-1,-1,91,-1,-1,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,-1,-1,89,-1,-1
VUT,Vanuatu,Oceania,2019,106,25,15,43,41,-1,-1,59,-1,-1,-1,-1,-1,-1,-1,-1,65,-1,-1,51,-1,-1,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
VEN,Venezuela (Bolivarian Republic of),South America,2019,7677,88,23,43,34,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,-1,-1,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PSE,West Bank and Gaza Strip,Asia,2019,1644,76,16,29,55,78,22,0,78,19,3,81,18,2,-1,-1,2,81,19,0,86,14,0,81,18,0,79,21,0,84,16,0,-1,-1,0,78,22,0,86,13,1,21,76,3,11,80,9,24,72,4,-1,-1,-1,22,73,5,29,66,5
YEM,Yemen,Asia,2019,10660,37,22,41,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ZMB,Zambia,Africa,2019,7882,44,29,44,27,79,4,17,-1,-1,-1,79,5,16,-1,-1,-1,78,3,18,94,0,5,66,-1,-1,-1,-1,-1,23,66,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,-1,-1,-1,-1,-1,19,29,52,-1,-1,-1,55,-1,-1,58,-1,-1
ZWE,Zimbabwe,Africa,2019,5764,32,15,50,35,66,21,13,86,13,1,60,30,9,-1,-1,-1,64,22,14,69,19,12,-1,-1,3,-1,-1,6,-1,-1,4,-1,-1,13,-1,-1,2,-1,-1,3,-1,-1,37,-1,-1,12,-1,-1,42,-1,-1,35,-1,-1,37,-1,-1,41